Time (s),Distance (mm),Angle (deg),Left Speed (mm/s),Right Speed (mm/s)
2.048654317855835,869.255126953125,-33.40839385986328,109.51514434814453,190.48486328125
4.128026008605957,888.6392822265625,-33.2249641418457,114.05532836914062,185.94467163085938
4.349881172180176,879.7486572265625,-33.15224075317383,114.06480407714844,185.93519592285156
4.522852659225464,849.7407836914062,-33.124908447265625,113.91812133789062,186.08187866210938
4.696779012680054,849.7407836914062,-33.124908447265625,113.74758911132812,186.25241088867188
4.870150804519653,866.1412353515625,-24.655460357666016,139.22952270507812,160.77047729492188
5.059884309768677,876.869384765625,-17.561159133911133,142.2460174560547,157.7539825439453
5.246547222137451,846.048095703125,-9.504246711730957,152.2876434326172,147.7123565673828
5.421961069107056,846.048095703125,-9.504246711730957,137.1472930908203,162.8527069091797
5.62762713432312,854.6314086914062,-1.3114757537841797,159.2770233154297,140.7229766845703
5.8009607791900635,802.0546264648438,2.0406761169433594,155.462646484375,144.537353515625
5.992189884185791,758.55322265625,4.086180210113525,154.49884033203125,145.50115966796875
6.194885969161987,758.55322265625,4.086180210113525,150.77159118652344,149.22840881347656
6.412110805511475,746.6359252929688,7.3829240798950195,159.4122314453125,140.5877685546875
6.601533889770508,710.092529296875,7.4592790603637695,154.3461151123047,145.6538848876953
6.801676034927368,710.260009765625,8.598505020141602,157.3708953857422,142.6291046142578
7.002047538757324,671.0,9.325061798095703,157.41171264648438,142.58828735351562
7.175071477890015,671.0,9.325061798095703,156.17486572265625,143.82513427734375
7.345457315444946,637.4577026367188,9.802027702331543,157.6649932861328,142.3350067138672
7.532801151275635,599.660888671875,10.073166847229004,157.50067138671875,142.49932861328125
7.734125852584839,560.1353149414062,9.787093162536621,156.2501220703125,143.7498779296875
7.983652114868164,508.3608093261719,9.780149459838867,153.37478637695312,139.81564331054688
8.177985668182373,508.3608093261719,9.780149459838867,156.82733154296875,143.17266845703125
8.351858139038086,545.0182495117188,9.454739570617676,155.8797607421875,144.1202392578125
8.525737524032593,445.3818359375,8.778462409973145,89.37847900390625,80.32293701171875
8.699145555496216,413.7671203613281,7.40024471282959,113.03020477294922,109.52069854736328
8.856950283050537,392.9188537597656,6.32387638092041,109.04888153076172,106.86333465576172
9.018471956253052,392.9188537597656,6.32387638092041,124.66805267333984,117.66703033447266
9.223861694335938,345.970703125,5.361456871032715,80.45028686523438,78.61012268066406
9.397877216339111,321.42193603515625,4.625012397766113,78.8200912475586,78.1030044555664
9.58628225326538,321.42193603515625,4.625012397766113,94.42597198486328,90.71158599853516
9.77682638168335,296.96746826171875,4.534503936767578,71.57069396972656,68.33525085449219
9.934762716293335,296.96746826171875,4.534503936767578,84.58528137207031,80.98869323730469
10.144046068191528,259.6195068359375,4.33864688873291,51.29520797729492,48.709110260009766
10.350692987442017,217.09373474121094,3.614806652069092,29.944257736206055,30.57282066345215
10.524575471878052,217.09373474121094,3.614806652069092,51.76176071166992,49.91322708129883
10.698057413101196,210.97703552246094,3.881624221801758,46.60783004760742,43.12211990356445
10.872292757034302,210.97703552246094,3.881624221801758,49.60889434814453,47.17273712158203
11.04690670967102,195.10536193847656,4.137665748596191,34.954345703125,30.950780868530273
11.220385074615479,195.10536193847656,4.137665748596191,43.545066833496094,40.539222717285156
11.394924879074097,173.52496337890625,3.956502914428711,22.01810646057129,20.073522567749023
11.584187507629395,161.5265350341797,3.9668540954589844,23.65113067626953,20.890968322753906
