Time (s),Distance (mm),Angle (deg),Left Speed (mm/s),Right Speed (mm/s)
4.01399827003479,700.2589111328125,-28.365758895874023,282.3374328613281,327.9215087890625
4.225744009017944,707.2823486328125,-28.33901023864746,285.87060546875,331.4117126464844
4.463559865951538,707.2823486328125,-28.33901023864746,285.87060546875,331.4117126464844
4.64948296546936,702.5657958984375,-28.34680938720703,283.5060729980469,329.0597229003906
4.826229095458984,649.5723876953125,-29.075027465820312,256.4242248535156,303.14813232421875
4.995917797088623,552.5957641601562,-32.44093322753906,205.2313995361328,257.3643798828125
5.193548202514648,537.5038452148438,-33.956565856933594,196.46762084960938,251.03622436523438
5.419208288192749,537.5038452148438,-33.956565856933594,196.46762084960938,251.03622436523438
5.601918935775757,471.3136901855469,-36.72053146362305,161.15167236328125,220.16201782226562
5.784698009490967,432.5363464355469,-38.774452209472656,140.1126708984375,202.42367553710938
5.951910018920898,432.5363464355469,-38.774452209472656,140.1126708984375,202.42367553710938
6.132690906524658,383.9222106933594,-35.11517333984375,118.74586486816406,175.17636108398438
6.3106958866119385,383.9222106933594,-35.11517333984375,118.74586486816406,175.17636108398438
6.501319646835327,383.9222106933594,-35.11517333984375,118.74586486816406,175.17636108398438
6.666991710662842,316.2437438964844,-27.98627471923828,90.63473510742188,135.6090087890625
6.818924427032471,271.4783935546875,-20.092418670654297,74.59481048583984,106.88357543945312
7.017751932144165,271.4783935546875,-20.092418670654297,74.59481048583984,106.88357543945312
7.2395124435424805,233.587890625,-11.89730453491211,62.23439025878906,81.35350036621094
7.467251539230347,213.6114044189453,-8.017848014831543,55.363311767578125,68.24809265136719
7.649061918258667,182.4462127685547,-0.7939682006835938,45.585147857666016,46.86106491088867
7.835246562957764,176.6615753173828,6.004757881164551,48.15564727783203,38.50592803955078
8.004534006118774,151.96519470214844,10.903913497924805,39.74395751953125,22.221237182617188
8.179763793945312,142.9531707763672,14.774199485778809,38.347740173339844,14.605427742004395
8.354235410690308,142.9531707763672,14.774199485778809,38.347740173339844,14.605427742004395
8.540327072143555,142.9531707763672,14.774199485778809,38.347740173339844,14.605427742004395
8.723064661026001,134.3427734375,16.338687896728516,35.29962158203125,9.0431547164917
8.898302793502808,119.77132415771484,17.496912002563477,28.944534301757812,0.826788604259491
9.0844144821167,119.77132415771484,17.496912002563477,28.944534301757812,0.826788604259491
9.261826276779175,112.78279876708984,17.28860855102539,25.282899856567383,-2.50010085105896
9.4266037940979,110.77068328857422,14.882560729980469,22.34356689453125,-1.5728834867477417
9.616072416305542,110.77068328857422,14.882560729980469,22.34356689453125,-1.5728834867477417
9.792588710784912,110.15917205810547,10.908994674682617,18.845027923583984,1.3141443729400635
9.982002019882202,110.94110870361328,5.150888442993164,14.609323501586914,6.331784725189209
10.139951229095459,109.73180389404297,3.261240005493164,12.486327171325684,7.245476245880127
10.331533908843994,109.55767059326172,-0.009261131286621094,9.771393775939941,9.786276817321777
10.608728647232056,109.55767059326172,-0.009261131286621094,9.771393775939941,9.786276817321777
10.768886089324951,108.90406036376953,-3.9788575172424316,6.254994869232178,12.649065971374512
10.961030006408691,108.90406036376953,-3.9788575172424316,6.254994869232178,12.649065971374512
11.133550882339478,108.87635040283203,-4.064087390899658,6.172657489776611,12.703693389892578
11.322962045669556,108.55367279052734,-5.177839279174805,5.1164116859436035,13.437260627746582
11.514726161956787,108.55367279052734,-5.177839279174805,5.1164116859436035,13.437260627746582
11.719659090042114,108.11309051513672,-5.278213977813721,4.815468788146973,13.29762077331543
11.890288591384888,107.2001724243164,-5.285930156707764,4.352809429168701,12.847363471984863
12.070606470108032,106.91303253173828,-5.220170974731445,4.262077808380127,12.650954246520996
12.254750490188599,106.91303253173828,-5.220170974731445,4.262077808380127,12.650954246520996
12.434667110443115,106.98871612548828,-5.218050956726074,4.301623344421387,12.687092781066895
12.620396137237549,106.58843231201172,-5.143966197967529,4.161009311676025,12.427423477172852
12.78584337234497,106.58843231201172,-5.143966197967529,4.161009311676025,12.427423477172852
12.9736967086792,105.63155364990234,-5.274321556091309,3.5778284072875977,12.053725242614746
13.183080196380615,103.52509307861328,-5.187297821044922,2.5945217609405518,10.930570602416992
13.368265867233276,101.80047607421875,-4.855373382568359,1.9989162683486938,9.801559448242188
13.564013004302979,101.80047607421875,-4.855373382568359,1.9989162683486938,9.801559448242188
13.76451849937439,101.23110961914062,-4.563905239105225,1.948429822921753,9.282679557800293
